,brewery_id,name,city,state,beer_count,rating
69,69,Appalachian Mountain Brewery,Boone, NC,3,4.7
70,70,Birdsong Brewing Company,Charlotte, NC,1,4.8
71,71,Union Craft Brewing,Baltimore, MD,4,4.6
72,72,Atwater Brewery,Detroit, MI,6,4.3
73,73,Ale Asylum,Madison, WI,1,4.3
74,74,Two Brothers Brewing Company,Warrenville, IL,10,4.5
75,75,Bent Paddle Brewing Company,Duluth, MN,6,4.8
76,76,Bell's Brewery,Kalamazoo, MI,6,4.6
77,77,Blue Owl Brewing,Austin, TX,4,4.6
78,78,Speakasy Ales & Lagers,San Francisco, CA,1,4.5
79,79,Black Tooth Brewing Company,Sheridan, WY,2,4.7
80,80,Hopworks Urban Brewery,Portland, OR,23,4.4
81,81,Epic Brewing,Denver, CO,4,4.4
82,82,New Belgium Brewing Company,Fort Collins, CO,17,4.7
83,83,Sierra Nevada Brewing Company,Chico, CA,9,4.7
84,84,Keweenaw Brewing Company,Houghton, MI,7,4.8
85,85,Brewery Terra Firma,Traverse City, MI,1,4.7
86,86,Grey Sail Brewing Company,Westerly, RI,2,4.7
87,87,Kirkwood Station Brewing Company,Kirkwood, MO,2,3.5
88,88,Goose Island Brewing Company,Chicago, IL,5,4.7
89,89,Broad Brook Brewing LLC,East Windsor, CT,1,4.5
90,90,The Lion Brewery,Wilkes-Barre, PA,1,4
91,91,Madtree Brewing Company,Cincinnati, OH,9,4.6
92,92,Jackie O's Pub & Brewery,Athens, OH,5,4.6
93,93,Rhinegeist Brewery,Cincinnati, OH,8,4.6
94,94,Warped Wing Brewing Company,Dayton, OH,4,4.7
95,95,Blackrocks Brewery,Marquette, MA,1,4.8
96,96,Catawba Valley Brewing Company,Morganton, NC,2,4.5
97,97,Tröegs Brewing Company,Hershey, PA,5,4.6
98,98,Mission Brewery,San Diego, CA,4,4.5
99,99,Christian Moerlein Brewing Company,Cincinnati, OH,1,4.4
100,100,West Sixth Brewing,Lexington, KY,4,4.7
101,101,Coastal Extreme Brewing Company,Newport, RI,4,NaN
102,102,King Street Brewing Company,Anchorage, AK,5,4.6
103,103,Beer Works Brewery,Lowell, MA,4,4.4
104,104,Lone Tree Brewing Company,Lone Tree, CO,1,4.7
105,105,Four String Brewing Company,Columbus, OH,4,4.7
106,106,Glabrous Brewing Company,Pineland, ME,1,NaN
107,107,Bonfire Brewing Company,Eagle, CO,19,4.9
108,108,Thomas Hooker Brewing Company,Bloomfield, CT,1,4.6
109,109,"Woodstock Inn, Station & Brewery",North Woodstock, NH,2,4.4
110,110,Renegade Brewing Company,Denver, CO,6,4.5
111,111,Mother Earth Brew Company,Vista, CA,1,4.8
112,112,Black Market Brewing Company,Temecula, CA,4,4.5
113,113,Vault Brewing Company,Yardley, PA,1,4.6
114,114,Jailbreak Brewing Company,Laurel, MD,1,4.6
115,115,Smartmouth Brewing Company,Norfolk, VA,3,4.7
116,116,Base Camp Brewing Co.,Portland, OR,5,4.5
117,117,Alameda Brewing,Portland, OR,3,4.7
118,118,Southern Star Brewing Company,Conroe, TX,14,4.8
119,119,Steamworks Brewing Company,Durango, CO,4,4.5
120,120,Horny Goat Brew Pub,Milwaukee, WI,3,4.3
121,121,Cheboygan Brewing Company,Cheboygan, MI,3,4.5
122,122,Center of the Universe Brewing C...,Ashland, VA,4,4.5
123,123,Ipswich Ale Brewery,Ipswich, MA,1,4.4
124,124,Griffin Claw Brewing Company,Birmingham, MI,9,4.5
125,125,Karbach Brewing Company,Houston, TX,10,4.6
126,126,Uncle Billy's Brewery and Smokeh...,Austin, TX,2,4.7
127,127,Deep Ellum Brewing Company,Dallas, TX,9,4.6
128,128,Real Ale Brewing Company,Blanco, TX,8,4.8
129,129,Straub Brewery,St Mary's, PA,4,4.8
130,130,Shebeen Brewing Company,Wolcott, CT,1,4.6
131,131,Stevens Point Brewery,Stevens Point, WI,22,4.7
132,132,Weston Brewing Company,Weston, MO,7,4.7
133,133,Southern Prohibition Brewing Com...,Hattiesburg, MS,9,4.7
134,134,Minhas Craft Brewery,Monroe, WI,13,4.5
135,135,Pug Ryan's Brewery,Dillon, CO,7,3.9
136,136,Hops & Grains Brewing Company,Austin, TX,1,4.8
137,137,Sietsema Orchards and Cider Mill,Ada, MI,1,4.7
138,138,Summit Brewing Company,St Paul, MN,1,4.6
139,139,Core Brewing & Distilling Company,Springdale, AR,4,4.6
140,140,Independence Brewing Company,Austin, TX,3,4.6
141,141,Cigar City Brewing Company,Tampa, FL,25,4.5
142,142,Third Street Brewhouse,Cold Spring, MN,4,4.3
143,143,Narragansett Brewing Company,Providence, RI,10,5
144,144,Grimm Brothers Brewhouse,Loveland, CO,1,4.7
145,145,Cisco Brewers,Nantucket, MA,7,4.6
146,146,Angry Minnow,Hayward, WI,1,4.3
147,147,Platform Beer Company,Cleveland, OH,1,4.5
148,148,Odyssey Beerwerks,Arvada, CO,7,4.7
149,149,Lonerider Brewing Company,Raleigh, NC,5,4.6
150,150,Oakshire Brewing,Eugene, OR,4,4.6
151,151,Fort Pitt Brewing Company,Latrobe, PA,1,NaN
152,152,Tin Roof Brewing Company,Baton Rouge, LA,7,4.6
153,153,Three Creeks Brewing,Sisters, OR,3,4.1
154,154,2 Towns Ciderhouse,Corvallis, OR,4,4.8
155,155,Caldera Brewing Company,Ashland, OR,14,4.4
156,156,Greenbrier Valley Brewing Company,Lewisburg, WV,2,4.7
157,157,Phoenix Ale Brewery,Phoenix, AZ,1,4.5
158,158,Lumberyard Brewing Company,Flagstaff, AZ,4,4.3
159,159,Uinta Brewing Company,Salt Lake City, UT,9,4.4
160,160,Four Peaks Brewing Company,Tempe, AZ,7,4.6
161,161,Martin House Brewing Company,Fort Worth, TX,8,4.7
162,162,Right Brain Brewery,Traverse City, MI,1,4.5
163,163,Sly Fox Brewing Company,Phoenixville, PA,1,4.6
164,164,Round Guys Brewing,Lansdale, PA,7,4.5
165,165,Great Crescent Brewery,Aurora, IN,20,4.7
166,166,Oskar Blues Brewery,Longmont, CO,33,4.6
167,167,Boxcar Brewing Company,West Chester, PA,3,4.8
168,168,High Hops Brewery,Windsor, CO,2,4.5
169,169,Crooked Fence Brewing Company,Garden City, ID,3,4
170,170,Everybody's Brewing,White Salmon, WA,2,4.5
171,171,Anderson Valley Brewing Company,Boonville, CA,18,4.7
172,172,Fiddlehead Brewing Company,Shelburne, VT,4,4.5
173,173,Evil Twin Brewing,Brooklyn, NY,5,4.4
174,174,New Orleans Lager & Ale Brewing ...,New Orleans, LA,6,4.5
175,175,Spiteful Brewing Company,Chicago, IL,12,4.7
176,176,Rahr & Sons Brewing Company,Fort Worth, TX,2,4.1
177,177,18th Street Brewery,Gary, IN,14,4.4
178,178,Cambridge Brewing Company,Cambridge, MA,2,4.3
179,179,Carolina Brewery,Pittsboro, NC,3,4.2
180,180,Frog Level Brewing Company,Waynesville, NC,1,4.6
181,181,Wild Wolf Brewing Company,Nellysford, VA,4,3.9
182,182,COOP Ale Works,Oklahoma City, OK,6,4.7
183,183,Seventh Son Brewing Company,Columbus, OH,5,4.6
184,184,Oasis Texas Brewing Company,Austin, TX,4,4.3
185,185,Vander Mill Ciders,Spring Lake, MI,5,4.2
186,186,St. Julian Winery,Paw Paw, MI,1,4.6
187,187,Pedernales Brewing Company,Fredericksburg, TX,2,4.7
188,188,Mother's Brewing,Springfield, MO,2,4.9
189,189,Modern Monks Brewery,Lincoln, NE,1,NaN
190,190,Two Beers Brewing Company,Seattle, WA,12,4.6
191,191,Snake River Brewing Company,Jackson, WY,7,4.2
192,192,Capital Brewery,Middleton, WI,11,4.3
193,193,Anthem Brewing Company,Oklahoma City, OK,3,4.7
194,194,Goodlife Brewing Co.,Bend, OR,1,4.5
195,195,Breakside Brewery,Portland, OR,1,4.5
196,196,Goose Island Brewery Company,Chicago, IL,1,4.7
197,197,Burnside Brewing Co.,Portland, OR,1,4.2
198,198,Hop Valley Brewing Company,Springfield, OR,8,4.3
199,199,Worthy Brewing Company,Bend, OR,5,4
200,200,Occidental Brewing Company,Portland, OR,4,4.6
201,201,Fearless Brewing Company,Estacada, OR,6,3.7
202,202,Upland Brewing Company,Bloomington, IN,3,4.6
203,203,Mehana Brewing Co.,Hilo, HI,6,NaN
204,204,Hawai'i Nui Brewing Co.,Hilo, HI,5,4.4
205,205,People's Brewing Company,Lafayette, IN,4,4.8
206,206,Fort George Brewery,Astoria, OR,12,4.5
207,207,Branchline Brewing Company,San Antonio, TX,1,4.4
208,208,Kalona Brewing Company,Kalona, IA,2,4.5
209,209,Modern Times Beer,San Diego, CA,8,4.7
210,210,Temperance Beer Company,Evanston, IL,3,4.6
211,211,Wisconsin Brewing Company,Verona, WI,4,4.7
212,212,Crow Peak Brewing Company,Spearfish, SD,7,4.7
213,213,Grapevine Craft Brewery,Farmers Branch, TX,3,4.6
214,214,Buffalo Bayou Brewing Company,Houston, TX,3,4.6
